"id","name","updating","country","link","cover_image","location","xc","dh","fr","skills","food","parking","parking_charge","toilet","shower","shop","trails","uplift","rebuilt","display_on_map","website","web_uplift","uplift_logo","description","weather","pageviews"
"1","Barnett Demesne","0","nireland","barnett_demesne",,"54.548472, -5.970965","1","0","1","0","0","1","free","1","1","0","2","0","1","3","http://www.mountainbikeni.com/barnett-demesne-trails-jumps-park/",,,"Barnett Demesne is in south Belfast.<br><br>The Jump Park is the first official Jump park and caters for all abilities, while the Blue xc loop has 1.5km of additional Red graded options.","371348","81"
"2","Blessingbourne","0","nireland","blessingbourne",,"54.386048, -7.311372","1","0","0","0","1","1","5,24;","1","0","0","3","0","1","3","http://www.mountainbikeni.com/blessingbourne/",,,"Blessingbourne is a private estate on the outskirts of Fivemiletown.<br><br>The xc loops are all fairly short, yet by all accounts packed with interesting trail features to test your skills.","351479","76"
"3","Castlewellan","0","nireland","castlewellan",,"54.259927, -5.953455","1","0","0","0","1","1","4.50,24;","1","1","0","3","0","1","3","http://www.mountainbikeni.com/castlewellan/",,,"Castlewellan is south of Belfast, and sits around Castlewellan Lake.<br><br>Both the green and blue trails circle the lake, with the blue taking a slightly wider and more interesting loop.<br><br>The Red route explores more of the forest and the smaller lakes, and gives you several Black options to try out.","350835","78"
"4","Davagh Forest","0","nireland","davagh_forest",,"54.7186467, -6.9326842","1","0","0","1","1","1","free","1","0","0","4","0","1","3","http://www.mountainbikeni.com/davagh-forest/",,,"Davagh Forest can be found hiding out in the woods near Cookstown.<br><br>It's range of trails go from an easy green loop up to a 16km Red loop with multiple options. In fact, in order to try everything on the Red route requires a second trip around.","3911","87"
"5","Rostrevor","0","nireland","rostrevor",,"54.096764, -6.188279","1","1","0","0","1","1","free","1","1","0","4","1","1","3","http://www.mountainbikeni.com/rostrevor/","http://eastcoastadventure.com/book-on-line/",,"Rostrevor sits on the shores of Carlingford Lough,close to the border with Ireland. It hass a selection of xc trails as well as Uplift-serviced downhill trails.<br><br>With almost 50km of trails on offer, it's well worth a few days worth of riding.","354854","82"
"6","Tollymore","0","nireland","tollymore",,"54.223077, -5.963664","0","0","0","1","1","1","free","1","1","0","1","0","1","3","http://www.mountainbikeni.com/tollymore-skills-course/",,,"Tollymore is part of the Tollymore National Outdoors Centre, on the outskirts of Bryansford village.","354853","80"
"7","Cannock Chase","0","england","cannock_chase","cannock","52.752279, -1.974397","1","1","0","0","1","1","1,1;2,3;3,24;","1","0","1","13","0","1","3","http://www.chasetrails.co.uk/",,,"Cannock Chase combines good facilities with good trails and easy access for most of the country.<br><br>The trails allow you to choose how far you want to push yourself, and if you're fed up with cross-country, there's the Stile Cop Downhills just round the corner.","351492","94"
"8","Kielder Forest","0","england","kielder","kielder","55.235798, -2.580130","1","0","1","0","1","1",,"1","0","1","6","0","1","3","http://www.visitkielder.com/play/adventure/mountain-biking",,,"Kielder Forest sits just south of the Scottish border, close to Hexham, on one of the largest man-made lakes in the UK.<br><br>With trails ranging from easy Green routes up to the Deadwater Black trail, and a Trials park, there is something for everyone. The Lonesome Pine and Bloody Bush trails can be a little hard to find, but luckily the bikeshop is on hand to provide advice and spare parts.<br><br>Kielder isn't one of those major trailcentres. The surfaces tend to be loose and rocky, but not torn up, rutted or potholed. It's entirely possible to spend the day riding one of the harder routes and not see another rider.<br><br>Kielder Castle has a few attractions such as mazes and a tearoom, so there's somewhere for non-riders to go and stuff for them to do. There's even a Youth hostel in the village, to break up longer trips.<br><br>In all, there's over 120km of trails waiting out there.","354887","94"
"9","Billinge Hill","0","england","billinge_hill",,"53.737746, -2.515057","0","1","0","0","0","1",,"0","0","0","3","0","1","1","http://www.pmba.org.uk/billinge.htm",,,,,"0"
"10","Cock Hill","0","england","cock_hill",,"53.728544, -2.147529","0","1","1","0","0","1",,"0","0","0","3","0","1","3","http://dirt-trax.co.uk/",,,"Cockhill wood is located in the Pennine valley of Todmorden, on the border of Yorkshire and Lancashire.

The woodland area is being carefully developed with environmental considerations for MTB riding.

Dirt-trax Ltd maintain and build the trails in Cockhill Woods home of Cockhill Mtb.","353930","80"
"11","Delamere Forest","0","england","delamere",,"53.229083, -2.67705","1","1","1","0","1","1",,"1","0","1","4","0","1","3","http://www.forestry.gov.uk/forestry/INFD-922LC3",,,"Just to the east of Chester, and within easy reach of the M56, Delemere is pretty easy to get to.","351185","81"
"12","Dalby Forest","0","england","dalby",,"54.277078, -0.687554","1","0","1","0","1","1",,"1","0","0","6","0","1","3","http://www.forestry.gov.uk/forestry/infd-8yzdgq",,,"Dalby Forest is situated on the southern slopes of the North York Moors National Park. The southern part of the forest is divided by a number of valleys creating a &#39;Rigg and Dale&#39; landscape whilst to the north the forest sits on the upland plateau.

It has a wide range of trails from Green Family routes up to a black World Cup XC trail.
","351147","91"
"13","Gisburn","0","england","gisburn",,"53.998941, -2.389662","1","1","0","0","1","1",,"1","0","1","4","0","1","3","http://www.pmba.org.uk/gisburn.htm",,,"Despite being a little bit out of the way for main roads, Gisburn has a pair of quality trails making it well worth a visit, and with a Visitors Centre under development, is perfect for a day out.","355470","82"
"14","Hamsterley","0","england","hamsterley",,"54.676064,-1.857812","1","1","1","0","1","1",,"1","0","0","9","1","1","3","http://www.forestry.gov.uk/forestry/infd-8z4ktl",,,"Hamsterley Forest is one of the Northeast’s premier mountain bike destinations, with over 2000 hectares of forest to explore on 33 miles of waymarked trails and countless more miles of seldom travelled forest road.

Whether it is high octane thrill seeking you are after on one of the extreme downhill courses, or a quiet cycle with your family, Hamsterley Forest has something for cyclists of all-abilities.","351750","78"
"15","Whinlatter","0","england","whinlatter",,"54.609832, -3.226426","1","0","0","0","1","1",,"1","0","0","2","0","1","3","http://www.forestry.gov.uk/forestry/INFD-8Z4EET",,,"Whinlatter is home to the longest purpose-built mountain bike trails in the Lake District.

Less than 10 minutes drive from Keswick, it&#39;s pretty easy to reach from the M6, and still provides a decent range of cycling options, even if the carparking is a bit on the expensive side.","354917","73"
"16","Lee Quarry","0","england","lee_quarry",,"53.692393, -2.208769","1","1","0","1","0","1",,"1","0","0","5","0","1","1","http://www.pmba.org.uk/leeandcragg.htm",,,,,"0"
"17","Badbury Clumps","0","england","badbury_clumps",,"51.649209, -1.622912","0","1","0","0","0","1",,"0","0","0","6","0","1","1",,,,,,"0"
"18","Aston Hill","0","england","aston_hill",,"51.782763, -0.70918","1","1","1","0","0","1",,"1","0","0","8","0","1","3",,,,"Aston hill has some of the steepest tracks in the South East. Its the closest you will get to big mountain riding near London. 5 excellent downhills runs but you earn your gravity with a bit of git of a push up. The runs are around 2 mins long. There is also a 4x track which needs some TLC. Aston Hill is clay and is super rooty. Thus its a bit lethal in the wet. The latest trail - Surface to Air - is a great addition as is the new pump track.","354123","86"
"19","Chicksands","0","england","chicksands",,"52.061502, -0.373946","1","1","1","0","1","1",,"1","0","0","9","0","1","3",,,,"With one of the best 4x tracks in the South East, a really fun duel and 3 DH tracks Chicksands has lots of variety. There is also an XC loop although the forest is pretty small and the trails are much less developed. ","353473","91"
"20","Deers Leap","0","england","deers_leap",,"51.104479, -0.023457","1","0","1","0","1","1",,"1","0","1","3","0","1","1",,,,,,"0"
"21","Woburn Sands","0","england","woburn_sands",,"52.005768, -0.64382","1","1","0","0","0","1",,"0","0","0","6","0","1","3",,,,"Woburn is an excellent place to ride when wet as it drains so well. Its a fun place to get some Freeride/DH action during the winter. It is super progressive, with very small to very very big stuff. Most of the jumps drops are built into runs, and its always a real challenge to get the flow on. This place makes you a better rider. The push up is ok too.","350719","74"
"22","Paradise MTB","0","england","paradise_mtb",,"50.760846, 0.261144","0","1","0","0","0","0",,"0","0","0","4","0","1","1",,,,,,"0"
"23","Queen Elizabeth Country Park","0","england","queen_elizabeth_country_park",,"50.961306, -0.978581","1","0","0","0","1","1",,"1","0","0","3","0","1","1",,,,,,"0"
"24","Thetford","0","england","thetford",,"52.434468, 0.661497","1","0","0","0","1","1",,"1","0","1","5","0","1","3","http://www.forestry.gov.uk/forestry/infd-8ygkcr",,,"Known for it&#39;s hosting of 24hr endurance races, Thetford manages to pack in a lot of cycling without hitting the rider with difficult terrain.","353876","72"
"25","Ashton Court","0","england","ashton_court",,"51.445489, -2.63713","1","0","0","1","1","1",,"1","0","0","3","0","1","1","http://bristoltrailsgroup.com/local-trails/nova-ashton-court/",,,"Just over the Clifton Suspension Bridge, Ashton Court is the start point for several trails, and has been since 2002.","350953","0"
"26","Avon Tyrell","0","england","avon_tyrell",,"50.80009, -1.742109","1","1","0","0","1","1",,"1","1","1","5","0","1","1",,,,,,"0"
"27","Bedgebury","0","england","bedgebury",,"51.075273, 0.449381","1","0","1","0","1","1",,"1","1","1","2","0","1","3","http://www.forestry.gov.uk/forestry/infd-8yfema",,,"Bedgebury is just ot the south-east of London.

The cycle trails offer something for everyone, from beginners and families looking for a fun day out to adrenalin junkies looking for challenge.","350290","80"
"28","Cardinham","0","england","cardinham",,"50.469688,-4.679582","1","0","0","0","1","1",,"1","0","0","1","0","1","1",,,,,,"0"
"29","Combe Sydenham","0","england","combe_sydenham",,"51.121964, -3.32148","0","1","0","0","0","1",,"0","0","0","1","0","1","1",,,,,,"0"
"30","Croft Trail","0","england","croft_trail",,"51.537927, -1.7776","1","0","0","0","0","1",,"0","0","0","1","0","1","1",,,,,,"0"
"31","Forest of Dean","0","england","forest_of_dean",,"51.809344, -2.569324","1","1","0","1","1","1",,"1","1","1","18","1","1","3","http://www.forestry.gov.uk/forestry/englandgloucestershirenoforestforestofdeancannopcyclecentre","http://www.flyupdownhill.co.uk/",,"This centre, on the site of an old colliery, is the ideal place to start your cycling adventure. 

Enjoy a gentle ride through the forest on the Family Cycle Trail or test your skills on one of our MTB or downhill trails.","350979","71"
"32","Gawton Gravity Hub","0","england","gawton",,"50.506167, -4.175456","0","1","0","0","0","1",,"0","0","0","5","0","1","1",,,,,,"0"
"33","Haldon Forest","0","england","haldon","haldon","50.651365, -3.582448","1","0","0","1","1","1","1,1;2,3;3,24;","1","0","1","3","0","1","3","http://www.forestry.gov.uk/forestry/infd-8z5bpz",,,"Haldon is perched on the hill overlooking Exeter, right next to the Race course.<br><br>Even though the hill it sits on isn't too severe, and none of the trails are too long, there's enough to occupy you for a while, and maybe go for a spin on more than one of the trails.","351724","99"
"34","Lanhydrock","0","england","lanhydrock",,"50.447107, -4.697088","1","0","0","0","1","1",,"1","0","0","1","0","1","1",,,,,,"0"
"35","Triscombe","0","england","triscombe",,"51.11636, -3.196017","0","1","0","0","0","1",,"0","0","0","3","1","1","1",,,,,,"0"
"36","Keypitts","0","england","keypitts",,"51.194863, -4.090351","1","1","0","0","1","1",,"1","1","0","4","1","1","1",,,,,,"0"
"37","Bringewood","0","england","bringewood",,"52.353115, -2.775514","1","1","0","0","0","1",,"0","0","0","2","1","1","1",,,,,,"0"
"38","Bucknell","0","england","bucknell",,"52.369416, -2.973483","0","1","0","0","0","0",,"0","0","0","0","1","1","1",,,,,,"0"
"39","Chopwell Powerline","0","england","chopwell",,"54.924059, -1.78477","1","0","0","0","0","1",,"0","0","0","2","0","1","1",,,,,,"0"
"40","Clayton Vale","0","england","clayton_vale",,"53.485543, -2.192012","1","0","1","1","1","1",,"1","0","0","5","0","1","1",,,,,,"0"
"41","Danbury","0","england","danbury",,"51.70952, 0.577079","1","1","0","0","0","1",,"0","0","0","9","0","1","3",,,,"Danbury is a real gem of a place with a small freeride area and expanses of woods for XC. The freeride area is maintained by locals it has lots of little tight flowy downhill runs interspersed with some one off features. A hip, river gaps, kickers etc. There are always lots of Essex Herts MTB rides at Danbury. The local scene is great! ","355101","86"
"42","Eastridge Woods","0","england","eastridge_woods",,"52.618781, -2.899738","1","1","0","0","0","1",,"0","0","0","4","0","1","1",,,,,,"0"
"43","Epping Forest","0","england","epping_forest",,"51.66459, 0.040919","1","0","0","0","1","1",,"1","0","0","5","0","1","3",,,,"Epping Forest is home to the only real MTB trails within London, stretching between Forest Gate in the South and Epping in the North. If you know where to look it contains some of the best singletrack in the South East and London.

Epic mud in the winter and crazy brambles in the summer but lots of fun if you like it twisty and fast. Its very easy to go riding here, if you live in London, Essex or Hertfordshire.","351390","73"
"44","Friston Woods","0","england","friston_woods",,"50.778752, 0.206838","1","1","0","0","1","1",,"1","0","0","2","0","1","1",,,,,,"0"
"46","Grizedale","0","england","grizedale",,"54.339872, -3.026955","1","1","0","0","1","1",,"1","0","1","7","0","1","3","http://www.forestry.gov.uk/forestry/infd-8z4dzz",,,"Grizedale forest provides a great day out for all levels of cyclist. There are a range of waymarked trails that lead the cyclist around the forest on forest roads and tracks.

The difficulty in getting to it is offset slightly by the sheer number of trails to ride.","352848","83"
"47","Guisborough","0","england","guisborough",,"54.529251, -1.099176","1","0","0","0","1","1",,"1","0","0","3","0","1","1",,,,,,"0"
"48","Hadleigh Farm","0","england","hadleigh_farm",,"51.546388, 0.598022","1","0","0","0","1","1",,"1","0","0","1","0","1","3",,,,"The site of the 2012 Olympics xc course, just to the east of London.","324374","72"
"49","Healey nab","0","england","healey_nab",,"53.659505, -2.588958","1","1","0","0","0","0",,"0","0","0","2","0","1","1","http://www.pmba.org.uk/healeynab.htm",,,,,"0"
"50","Hicks Lodge","0","england","hicks_lodge",,"52.736915, -1.514035","1","0","0","0","1","1",,"1","1","1","2","0","1","1",,,,,,"0"
"51","Hopton","0","england","hopton",,"52.393961, -2.959664","1","1","0","0","0","1",,"0","0","0","6","0","1","1",,,,,,"0"
"52","Hurstwood","0","england","hurstwood",,"53.778366, -2.181695","1","0","0","0","0","1",,"0","0","0","4","0","1","1","http://www.pmba.org.uk/Hurstwood.htm",,,,,"0"
"53","Langdon Hills","0","england","langdon_hills",,"51.554154, 0.42282","1","0","0","0","0","1",,"1","0","0","2","0","1","3",,,,"There are 15 miles of cyclable trails at Langdon Hills Country Park. 

Nothing too extreme but good for keeping the fitness up. 

Langdon means ‘Long Hill’. The Country Park and Nature Reserve sit on a 385ft high crescent shaped hilly ridge which extends from Dunton to Vange, giving panoramic views over the Thames Estuary and across to London. It covers 400 acres of meadows, farmland, modern and ancient woodlands.","355127","71"
"54","Moors Valley","0","england","moors_valley",,"50.850594, -1.850492","1","1","1","0","1","1",,"1","0","0","5","0","1","1",,,,,,"0"
"56","Newbridge Park","0","england","newbridge_park",,"54.248252, -0.776389","1","0","1","0","0","1",,"0","0","0","2","0","1","1",,,,,,"0"
"57","Parkwood Springs","0","england","parkwood_springs",,"53.399164, -1.479277","1","0","0","0","0","1",,"0","0","0","1","0","1","1",,,,,,"0"
"58","Penshurst Off-Road Centre","0","england","penshurst_offroad_centre",,"51.165351, 0.163912","1","1","1","0","1","1",,"0","0","0","9","1","1","3",,,,"Penshurst Offroad Racing Club is one of the oldest and most legendary DH spots in the UK. 

There is an excellent DH Area with gap jumps ladders and some steep sections. The Dirt Jumps are progressive and well maintained. 

It&#39;s a fiver to ride there and its open 365 days a year, 7 days a week from 9am until sundown! The tracks are loose and rough and not as well shaped as some other locations. ","352994","69"
"59","Philips Park","0","england","phillips_park",,"53.545127, -2.303102","1","0","0","0","0","1",,"0","0","0","2","0","1","1",,,,,,"0"
"60","Redbridge","0","england","redbridge",,"51.604545,0.129365","1","0","0","0","1","1",,"1","1","0","2","0","1","1",,,,,,"0"
"61","Redhill","0","england","redhill",,"51.822609, -2.454633","0","0","1","0","0","1",,"0","0","0","6","1","1","1",,,,,,"0"
"62","Rendlesham","0","england","rendlesham",,"52.085242, 1.434978","0","0","0","0","0","0",,"0","0","0","0","0","3","1",,,,,,"0"
"63","Rogate","0","england","rogate",,"51.02898, -0.860395","0","1","0","0","0","0",,"0","0","0","5","0","1","1",,,,,,"0"
"64","Saddleworth","0","england","saddleworth",,"53.578825, -2.007716","0","0","0","0","0","0",,"0","0","0","0","0","3","1",,,,,,"0"
"65","Salcey Forest","0","england","salcey_forest",,"52.157532, -0.84029","0","0","0","0","0","0",,"0","0","0","0","0","3","1",,,,,,"0"
"66","Sandwell Valley","0","england","sandwell_valley",,"52.527789, -1.963531","1","0","0","0","0","1",,"1","0","0","2","0","1","1",,,,,,"0"
"67","Sherwood Pines","0","england","sherwood_pines",,"53.167768, -1.085869","1","1","1","0","1","1",,"1","0","1","5","0","1","3","http://www.forestry.gov.uk/forestry/INFD-8Z4LT8",,,"Sherwood Pines Forest Park is the regions premier venue for off road cycling and has a wide variety of trails for all abilities.

Ranging from green family trails up to a bikepark, and with onsite facilities, it&#39;s good for a day out.","353487","68"
"68","Stainburn","0","england","stainburn",,"53.953409, -1.681688","1","0","0","0","0","1",,"0","0","0","5","0","1","1",,,,,,"0"
"69","Stockwood","0","england","stockwood",,"51.419362, -2.550209","1","0","1","0","0","0",,"0","0","0","3","0","1","1",,,,,,"0"
"70","Stoughton","0","england","stoughton",,"50.909418, -0.844850","0","1","0","0","0","1",,"0","0","0","2","0","1","1",,,,,,"0"
"71","Sutton Bank","0","england","sutton_bank",,"54.240416, -1.209015","1","0","1","1","1","1",,"1","0","1","4","0","1","1",,,,,,"0"
"72","Swinley Forest","0","england","swinley_forest",,"51.387223, -0.741044","1","0","1","0","1","1",,"1","0","0","3","0","1","3","http://trailteamswinley.com/",,,"Swinley Forest is an area of Windsor Forest, owned and managed by The Crown Estate, comprising of 2600 acres of mainly Scots Pine woodland.

It is located between Bracknell and Bagshot to the west of the A322 The forest is open 24 hours a day 7 days a week with access available from a number of entrances. 

The car park at The look Out Discovery Centre is open in the summer from 8am to 8pm. ","310035","70"
"73","Symondsbury","0","england","symondsbury",,"50.738519, -2.779845","1","1","1","1","0","1",,"0","0","0","5","0","1","1",,,,,,"0"
"74","The Bull Track","0","england","the_bull_track",,"51.054155, 0.18955","0","1","1","0","0","0",,"0","0","0","6","0","1","1","http://www.thebulltrack.co.uk/",,,,,"0"
"75","Tilgate","0","england","tilgate",,"51.0834141, -0.1717672","1","1","0","0","0","0",,"0","0","0","14","0","1","1","https://www.facebook.com/pages/Ride-Tilgate/164345096909943",,,,,"0"
"76","Trent park","0","england","trent_park",,"51.662906, -0.139436","1","0","0","0","1","1",,"1","0","0","2","0","1","1","http://trentcountrypark.com/Welcome.html",,,,,"0"
"78","Wakerley Great Woods","0","england","wakerley_great_woods",,"52.576441, -0.581269","1","0","0","0","0","1",,"0","0","0","1","0","1","1","http://www.forestry.gov.uk/forestry/EnglandNorthamptonshireRockinghamForestWakerleyGreatWoodWakerleyWoodCarParkScartreeTrail",,,,,"0"
"79","Wharncliffe","0","england","wharncliffe",,"53.450647, -1.511958","1","1","0","0","0","1",,"0","0","0","3","0","1","1","http://www.singletraction.co.uk/wp/?page_id=374",,,,,"0"
"80","Wyre Valley","0","england","wyre_valley",,"52.363441, -2.369449","1","0","0","0","1","1",,"1","0","0","3","0","1","1","http://www.forestry.gov.uk/wyreforest",,,,,"0"
"81","Carron Valley","0","scotland","carron_valley","carronvalley","56.030346, -4.054116","1","0","0","0","0","1","1,1;2,3;3,24;","1","0","0","2","0","1","3","http://scotland.forestry.gov.uk/visit/carron-valley",,,"Although Carron Valley lacks facilities, and it can be a little tricky to get to, the trail itself more than makes up for it.

You won't find very many potholes or trail defects like other, well used trail centres, and it has a nice combination of challenging climbs with fun descents.","350810","88"
"82","Ae Forest","0","scotland","ae_forest","aeforest","55.188865, -3.596263","1","1","0","0","1","1","1,1;2,3;3,24;","1","1","1","5","1","1","3","http://www.7stanesmountainbiking.com/Ae","http://www.upliftscotland.com","upliftscotland","Ae Forest is remote, features some really technical climbs and has a downhill rougher than the World Cup track in Fort William, but the quality of the trails more than compensate, giving you an all-round good time there.<br><br>
					Of particular note, Green Hill, possibly one of the most fun climbs I've ever ridden.<br><br>
					Don't forget to visit the cafe for good food.","350042","120"
"83","Innerleithen","0","scotland","innerleithen",,"55.611009, -3.056843","1","1","0","0","0","1","1,1;2,3;3,24;","0","0","0","12","1","1","3","http://7stanesmountainbiking.com/Glentress---Innerleithen/Innerleithen","http://www.upliftscotland.com","upliftscotland","Innerleithen is one of the oldest downhill centres in Scotland. With the majority of the downhill trails remaining more or less natural, rooty and technical.<br><br>
					The Cross-country combines technical ascents with fast and flowy downhills, making it challenging yet fun.<br><br>
					If you're looking for less pushing up, check out the uplift service here.","352007","107"
"84","Glenlivet","0","scotland","glenlivet","glenlivet","57.286727, -3.397450","1","0","0","1","1","1","1,1;2,3;3,24;","1","0","1","2","0","1","3","http://www.glenlivetestate.co.uk/things-to-see-do/activities/biking/glenlivet-mountain-bike-trails/",,,"Glenlivet sits somewhere in the Cairngorms, literally in the middle of nowhere.<br><br>What it lacks in accessibility, it more than makes up for with the quality of the trails, the fun of the descents, the views and the delicious food on offer in their cafe.","354908","156"
